id,text
43,"I received the Item a few days ago. I was verypleasantly surprised how beautiful the item was. The detail was excellent and the photo looked 3d. I received so many compliments on it. I did make a  huge mistake on it. I put a date of 1974 when it should have been 1973. I can't believe I did that. It was  totally my fault. That takes away something from it for me. There's nothing I can do about it now.  
  Thank You for everything your and yourteam did. You do excellent work and it's a memory that will last  a lifetime! I will let everyone who I show it to see how your company is the best. Thanks again, Tammy Logan;"
214,"To whom it may concerned, 
  Hi I purchased a item a while back and I just am very disappointed on the outcome.  
  First of all, the shipment was over the due date which you guys promised, second this item came with no light base which I'm seeing my receipt and it said I clicked on ""no base"" which must be a malfunction because what's the point of getting a 120$ item with no lights. FINALLY, what is this? Why are you charging so much for something that fits in my pocket?  
  Listen I get we are in a crisis but please don't screw your employees. These are memories to cherish not something to play hide and seek with.  
  Thank you."
298,"Product was delivered this was supposed to be a anniversary present. The quality of this product is nothing like it looked on the website. 
 The quality is horrible and you can barley see the picture. To say the least I am very disappointed. 
  
 Thank You. 
 Derrick Davis. 
 "
34,I received the wrong item and I’m not to happy about this. I wanted my daughter to have this before Xmas. I’m sure the lady who’s item I got is not happy either. You need to make this right. And get me this before Friday. I ordered this 2 weeks ago
74,"Hey Max; 
  Arrived this morning. They are beautiful and very well done... much sharper and crisper than Iexpected, and I was expecting good quality.  
  Thank you very much... this will mean so much to my girlfriend who lost her parents two years ago within one month of each other.  
  Great work."
184,"First and foremost, I absolutely LOVE my purchase and I'm sure my wife will as well! Arriving just in time for our one year anniversary I cannot thank you enough, timing, quality and customer service all great! I will definitely be visiting in the nearfuture, thank you again!"
76,"I am happy crying because it is so beautiful! Thank you so much. I will recommend you to everyone! It is amazing and exactly what I pictured for my grandma! Thank you thank you! 

 Sent from Yahoo Mail for iPhone"
6,"Hello, I received my Item today and I just want to say it looks better than I could of ever imagined. Thank you so much.  

 If you can send me a link I would be more than happy to leave a review.  

 Brandon  

 >"
169,Thank you so much Spencer. He loves it
177,"Kelly,  
  Both packages came in before Christmas and look great as usual. Thank you for rushing on the second one. Merry Christmas!  
  Joe Martinez 
  West Lindseyberg, CO"
285,"I love how it came out, thank you so much!! 
  
 MEAGHAN PURNAVEL

Advantage Title

shaffererica@gmail.com







201 Old Country Road, Suite 200, Lake Brianmouth, MH 11747

(213)540-5328 |

advantagetitle.com

Lake Brianmouth | Garciabury
| East Kellyberg
| Unit 7600 Box 2698
DPO AP 04372


ALTA Best Practices Certified"
223,"I didn’t want my picture separated! This is not what I ordered.. This was supposed to be a gift for my mother in law’s 70th birthday as a tribute to her husband who is dead. I am so beyond upset & disappointed in what I received because it split their family apart! 
  This is what I received:     
 This is what I submitted:    
 
  -- 
 Brenda Fields | Cameron Warner
(205) 495-3431 | (662) 801-3097"
85,"Hello, I am unable to leave a review to due to not having an account. However , I just wanted to let you all know that I LOVED this item . It was better than I imagined . It brought my grandmother to tears. Thank you so much for your wonderful work and swift delivery! I will definitely be referring you guys to other people and ordering again!  

 Amber Rogers"
8,"Hi Sarah, I e-mailed you about a item I ordered and was disappointed with. The back feet looked like testicles, although this was a female dog. I felt uncomfortable giving this to my best friend. You immediately corrected the problem and sent me the new replacement item of her dog. I love it and so will she. I just wanted to thank you for excellent customer service. I will be ordering again and recommend your site and product to others, along with positive reviews on your site. Thank you very much. Wesley Harrington  

 Sent from my iPhone"
194,"Just received it Love it it's beautiful thanks

 Sent from Yahoo Mail on Android"
286,I’m so disappointed in how small this is . At this price point the pic was very deceiving. I’m not happy this is for my mom for my sister who just passed .
47,"Morning Ellen, 
 

 
 Yesterday, June 18th, was our 15 year anniversary, and my husband finally opened his gift wrapped cube. He liked the present, but I do have to share with you that I am a little disappointed about the way it turned out. This has
 to do with how the preview looked like and the reality in regards to his head in the cube looks like it does not fit properly in the cube/ there is not enough space left on top. I am attaching pics of preview and reality. Otherwise, I like it. 
 
 Thanks
 Justin 
 
 

 
 Get Outlook for iOS"
4,"Thank you for sending my item Emily. However am disappointed that it’s not in color. The picture appears in grey! That’s not the kind of memory I was looking for.   Is it possible to have it in color?And then is it possible to send it in any other color other than black. Please find something that’s not in a form of a casket. A regular padded box would be nice.    Otherwise if the order cannot be altered then am afraid I would like a refund because I will have no use for itthen. Am so sorry i did not know thatI was supposed to request these specifics in detail. I assumed the picture would appear in color as it is. Thank you for considering my request.  
  Sincerely  Nancy SnyderSent from Yahoo Mail for iPhone"
261,"Review, I will definitely leave a review. I am totally pleased with the product and just ordered two more. It is beautiful!! Thank you."
195,My item is great however I ordered 2 and one does not have the engraving on it and I'm super disappointed in the 2nd one but the one that's correct is amazing
227,"This your company photo is absolutely beautiful great job thank you Andrew

Sent from my iPhone"
178,"I just received my purchase and it is better than I could have expected. Thank you all so much for what you do and did for me. 
 
 

 
Get Outlook for Android"
95,"So sorry, I just answered the wrong e-mail. I did receive it. 

 I absolutely love it!!! It is So beautiful, I am going to tell everyone I know how wonderful this company is. This is a gift for a very special

anniversary and I know they will love it. 

 Thank You

Alexis"
18,"My order arrived today in perfect condition and it is absolutely beautiful!!!! Thisis going to bemy daughter’s Christmas present from her sons(pictured) and she is going to love it!! 
  Thank you,  Miguel Jackson


  Sent from AOL Mobile Mail
Get the new AOL app: mail.mobile.aol.com"
269,"Order #658-205-051953 I just received it today . I just wanted to tell you how much I love the two units you made for in remembering my wife that we lost sept 2020. These are Christmas gifts for a friend and my son and daughter-in-law. I had previously order the small units but they are to small. The large ones are excellent and I am sure the kids and friends will love them. Now I will have to be ordering one for me,

Thank You"
61,"I received my Item on 11/19/2022.  It cost me $139.00 and I am not impressed. The photo is a picture of me and my sister.  Parts of the picture appear to be exposed twice.  It looks like I have 4 eyes and my sister has two sets of upper teeth. Even the print is exposed twice. The words “always” and “my” have a shadow behind the word. I’m not impressed.   Ideally I would like a new one that looks acceptable and like the picture. If this is not possible I would like a refund. 
Thanks."
25,"We are very disappointed with the image quality of our most recent order (#848235987589). The image of our kitty (Jessica) is pale and flat, and the tip of his back ear is clipped. Ironically, we expressly contacted your company with this concern prior to ordering and were assured a team member would carefully adjust the image and cropping! Our previous order (of our cat Karen) was perfect: luminous, dimensional, fully rendered & well cropped. It was based on this result that we placed this order. We would like your company to correct and replace this item with a similar quality image. Our desire is to focus more on Jessica’s head and ears than his legs. If there isn’t space to do that in the item without reducing image size, we can re-crop the image and send it to your company. The depth and luminosity of the image also needs to be enhanced. Please contact us."
115,"Hello, we did love the item, I actually need to order another one. For some reason I can not get into the website to login. Can you place another order for me? Thank you
 
  
  
 Marvin Lyons -
  
 Sent from 
Mail for Windows 10 
 "
211,"Good morning Darlene, 
  I just wanted to thank you so very much for making my friend and her boyfriend the item I ordered with their pic! It just came in the mail today (thanks for the email update) and I opened it before I gift it to them and it looks absolutely stunning, especially with the light! I love it so much!!! It's such a wonderful gift, I'm sure they're going to love it too! Thank you so much! I'll definitely be ordering one of these for my boyfriend as well! Would be very happy to leavea great review!  
  Thanks again,  
  Christie   
 -- 
     Benjamin Martin;  Ph.D. Candidate in Chemistry  University of Pittsburgh
 Cellphone:316-784-4128  Email:alicia96@yahoo.com"
149,"I sent the following message last week. Thank you. 
  
 




  


 Brittany
 
 
Dec 14, 2020, 11:43 AM EST
 
 
I LOVE
❤️ LOVE
❤️ LOVE
❤️ IT!!!!! Thank you so much. I will be passing examples of your work
 on to friends and family.

Have a very merry Christmas and a happy and prosperous new year.

Brittany 
 
Sent from my iPad 




 
  
  
 Sent from 
Mail for Windows 10 
 "
259,"Hello,I received my order today. thank-you!! my Daughter will love it!! I'm giving for Christmas gift. thank you again!  I will recommend to friends!!"
133,"You have received a message. 

 Message: 

 Hello I just received my package of a engraved tower item with base and when I opened it, it did not have the image that was supposed to be engraved on it or the text that was supposed to be on it. So I'm contacting you for a refund or the item that I originally ordered. Hope we can get this settled quickly and hope your having a nice day."
318,"I’m so impressed with your work! I just wish I had ordered a larger size. So I’m going order a larger size. 

 Thanks so very much

Tina

Sent from my iPhone"
235,"I am not happy!  I paid for expedited shipping to arrive today for a gift, (Tuesday November 22nd), when I checked the tracking number you provided it says the order was canceled with UPS.  Your last email to me said it was in its way????  I didn't get notification from you that it was canceled, what is the deal!!!?"
233,I am not satisfied with the Item I selected.  It is way too small and blurred on the side.  Please contact me with other options.  Thanks you.
102,"Kelly, 
 My friend received his item late last week and was speechless! I opened it before mailing it to him and marveled at this exquisite creation! I'm expecting mysecond shipment of four items later today.  
  I have attempted to submit my 5-star review twice, but it has not shown up on the review page yet. Today's review was a little more in depth and will resubmit with three pics. Please provide some assistance.  
  Thanks...Alejandro Delgado"
110,"I was hoping that the picture would be adjusted and the product done but when I saw the product, it was cropped incorrectly. I am not satisfied with the product"
255,"Support, 

 I was very disappointed in the contrast of my purchase. 

 I am not sure what can be done to improve this. 

 Michael Diaz"
281,"I am not satisfied with the item i got recently the picture seems to be unclear, so I would like to return it. Could someone please help me with the return and refund me the amount back.

Thanks,
Steve"
32,"Hi, I received my order and I absolutely love it. I ordered a large and I just wanted to make sure that's what I received. Can you confirm that this is a large and nota medium? 
  Thank you!"
263,"I am very very very disappointed and pissed of‼️‼️with your incompetence- sending my package to the wrong address  

 Sent from my iPhone"
196,"Hello, 

 I have sent numerous emails on my item that I am not satisfied with the purchase.  I feel the purchase does not come come to a $169 gift.  A negotiated settlement is what I am looking for.  Thank you for reading my email. 

 Sent from my iPhone"
147,"Hi Vincent,

The item is beautiful! And my friend loves it! Thank you for an awesome transaction. 

Take care 

Victoria 

 ﻿"
219,Thank youfor your email I can't wait for my fiance to open it I was a little shocked how small it way but it's still perfect happy holidays I will definitely be ordering again soon
138,Thank youvery much for making our item for us. You did an amazing job and love how it turned out. Thanksagain!!
60,"The orders I've made are for Christmas. The girls are with our dad who passed in 2017. With this pandemic going on I won't know their reactions personally. When I got the first order of my parents I cried because it was so beautiful. I thank you so much for
 your company's work. 
 
 

 
Get Outlook for Android"
117,"I’m looking forward to the email where I can rate your product. The timeless item blew away our expectations. My dad lost his wife and I was looking for a way to celebrate her memory this Christmas. He cried when he opened the box and saw her beautiful likeness encased in the item. When he placed the piece on the lit stand it was absolutely gorgeous. You guys knocked it out of the park.  
  He has sent me several texts since Christmas Day to tell me how much he loves the gift. This is a man of very few words and even fewer texts.  
  -“She is now resting on (his) nightstand and watching over (him).  
  Thank you!  
  P.S. I’ll need to order another kit stand b/c he wants to keep it on permanently and I’m not sure how long the lights are meant to last.  
  
    ---------- Forwarded message ---------"
7,"
 Message 
 Today was my 12th anniversary and my wife opened her wrapped gift. I had the opportunity to see it for the first time. She was impressed but I was disappointed in the fact that the lettering "" I love you"" was crooked/ on a slant. At $ 143 for the piece that mistake was disappointing."
197,"Thank you but I was saying I thought the Item itself was going to be bigger since it was a large. It’s beautiful in every kind of way! I thank you all!

  I’m sending this again because maybe you didn’t receive it the first time.

 Sent from my iPhone"
31,"Mr. Lans, 
  Thank you for this email and the opportunity to let you know about the finished product that I received yesterday. My husband Christopher, helped me order this item gift for a good friend who lost her daughter Kimberly. I’ve ordered these 3D products before with wonderful results, but I’m wondering now if maybe it was from a different company because I must tell you I was VERY disappointed with the end result of this one. It’s very hard to see exactly what the finished product is going to look like on a computer screen, so thought choosing the heart design would work. But it didn’t at all. The bottom of the heart looks like it’s making a “dent” in the top of Kimberly’s head. So there is no way I could possibility send this to my friend. I think your system should be able to advise you if the image submitted would not be a good fit and allow you to either choose a different item or perhaps suggest you selected a larger size heart. If given the choice, (for only $20 more) I could have chosen the large item “brick” which would have looked much better. I was also surprised at how small the “medium” heart was and the $60 jump in cost for the large size.   
  So with all this being said, I’d like to know what my options are and if it’s possible to return this item for a full refund OR perhaps a reorder of something else.   
  Thanks for your help.  
  Pamela Peterson;  
  

 Sent from my iPad  
Begin forwarded message:"
23,"I ordered 5 key chains, I am not happy with.you can’t see the pictures in them .I want to return them."
289,"My husband absolutely loves it! I was so excited to give it to him, that I couldn’t wait till Christmas! Beautiful! I will be ordering more from you. Thank you! 

 Sent from my iPhone"
57,"The order has arrived and it is beautiful...... My granddaughter will be giving it to her parents on Christmas day! I'm sure they will love the gift! 
  You have gone beyond great customer service. It is finally appreciated that some companies like yours still exist in the world.  
  Thank you for everything.  Merry Christmas and a Happy New Year!  
  Regards,  
  William Reynolds"
166,"
 Message 
 I bought this item for my wife. The images online show the item with pictures so clearly. Our picture barely shows. It looks like just. A big glass piece. Also the item shows it with the base and even shows the base separate. However I did not receive a base. So I spent $100 on a piece of glass no base with photo barely noticeable? I am not satisfied with this and I know she won’t be."
119,"The items I purchased were beautiful!! I ordered two and both were from pictures of pets we have lost. It is an amazing keepsake to help them remain in our hearts❤️ Thank you!!! 

 Sent from my iPhone"
205,"Hello Leroy, 

 I received my order on Friday and gave it to my parents. I just felt the need to reach out to you and thank you for your help with the order, the item was exceptional and far passed my expectations of what it was going to look like. Rest assured that when we have a need for another one there is no one I would rather have do it for me and I will promote yourproduct. The product speaks for itself but the Customer Service just adds to the phenomenal experience I've had. It was an emotional gift and it wouldn't have happened without you. Thank you again from a very appreciative and future customer."
82,Alan...the gift was for my wife...and she loved it !!! Thanks so much for your help with the photo. Great job! Armand.
146,"Hello Kyle.  
  I got my order and I am so very disappointed. It is not what I ordered ! it supposed to be in a brick shape, not a tower!!  
  Below is the order description  
   Birthday Brick Item, 3D Engraved  Photo  0177A3AA-5CE6-466F-8(349)460-04164ACC64C8.png  Engrave Text  على قَدْرِ طُهْر القلبِ تأني المواجع …. و تَجري على قَد ...   What I received is nothing to do with the shape I want !!  
  Please let me know how you can help me fix this problem??  
   Thank you  
    Huda"
40,"Loved it- ordered more!

 Sent from my iPhone"
220,"I received the item and wanted to tell you how beautiful it is. I would have left a review but the email sent from y’all for me to leave a review appeared to be compromised. But you do some fantastic work. Thank you again!  

 Thank you and same to you"
148,"I was hesitant about the pricing but I took a chance and did business with you. Its safe to say I am pleased with your work. You engraved the saying I wanted in there ""when we have eachother, we have everything"" even tho I exceeded the limit you still made it happen for me. Im very pleased cause this is a gift for my better half and her family. I'll gladly give you a good review. Thank you for making a beautiful piece, looking forward to doing business withyou in the future"
182,"Hi William,    I did receive the new one and I love it. Thanks again for your quick and courteous response.    I also posted a 5 star review. THANK YOU!  "
316,"Awww thank you all for the delivery updates. I’ll be looking out for the review email. Thank you all so much and EXCELLENT customer service! Stay safe and healthy:-)    Best Regards,  Christopher JenkinsSent from Yahoo Mail for iPhone"
109,You do great work! Where can I tell the world?
270,"Yes recieved it. It is wonderful. Thank you  
  
  
   Sent via the Samsung Galaxy S7, an AT&T 4G LTE smartphone   
  
   -------- Original message --------"
67,I received my replacement item and smaller base with no problems. Thank you!
19,Have purchased from you recently and was nothing but amazed. Love what I received from you guys. Im asking to touch base with you guys for another several purchases but the item I am trying to have done isn't showing up very well in live preview.  Can I speak with someone about working on the item.  I will try to attach picture. It is a single tree . The top shows up great but can't get trunk to show up. Please contact me so I can order more products.  Looking to order 3 of these tree pics.
185,"Sent from my iPhone

I have a big problem with my order.  First let’s me say the quality is Awesome, but I ordered Medium and received small.  I am willing to ship these back to show proof that these are smalls and not medium.  I’m very disappointed because these were gifts of a son who just recently passed away.  I ordered one previously in December so I KNOW FOR SURE THE OTHER 3 are SMALL not MEDIUM"
114,"Hello,  
  I would like to start by saying I'm really excited for my 3D Item, which is a gift for a close friend, that I just ordered. I write this email to request some help with my order. Firstly, I wanted to ask , if possible, that no receipts or invoices be included in the packaging as my order is going to be shipped directly to the recipient of the gift and I would prefer them not knowing any amounts. Secondly, I understand that times are challenging right now and you guys are probably very busy but again, if possible, the order be prioritized in any way so that it is delivered closer to November 30th, 2020 as this is the birthday of the recipient and it would be awesome if they received their present on or around their birthday.  
  I acknowledge my requests maybe be unusual but whatever you guys can do, would mean a lot to me!  
  Thank you,  Ricardo Meyer"
20,"I received my ordered and it is AWESOME!!!!!!!!!!!! 
  
 I got this for my daughter. 
  
 The dog in the picture ( Maria) has been her best friend for almost 14 years. 
  
 Maria’s is not doing well so my daughter will need to make a very heart breaking discuss soon.
 
  
 This will be such a awesome way to remember this very sweet dog. 
  
 Thank you for doing such a great job. 
  
 David Johnson /Controller 
 Tri Star Digital Connections, LLC 
 933-863-8945 
 "
183,"Hi there!

Just wanted to let you know we did in fact receive your product on time and in beautiful condition.  It is amaaazingly beautifully well done. Thank you so much.

Best Regards,

Michaela & Erik Velasquez"
93,I have received my gift for my wife… and the rotating light base that I paid for is not in the box?? Please contact me asap.. I spent 144.00 on this item and I’m very disappointed at this point.. this picture is of our baby who we lost this year
80,"Emily, I just want to say that i took your word for it & ordered the item even though i couldn’t preview it correctly due to the dark colors & oh my goodness it turned out sooooo perfect! I don’t know how you guys do it, but the money i spent was absolutely worth it. My boyfriend loved it & i couldn’t be anymore happier then what i already am with the way it turned out. Shipping was so fast even with COVID going on. I am so happy & thank you soooo soooo much for being so helpful & reassuring me that i would in fact get it in time & that you guys would make sure the picture showed up. Again thanks a million. I will definitely be recommending this to others! Hope you have an AMAZING day. 
  Thanks again,  Michael

 Sent from my iPhone"
73,"Yes I received my order. I expected it to be bigger. I'm disappointed in it, but will live and learn from this. There are so many that prey on people's feelings. M pricer."
112,"Ordered the small item and I have seen these before but they were on a base with a light. What I received was just a block of item, if course it had the picture I chose in it but for $ 69.00 base price plus shipping tax was $ 85.00 for that price I was extremely disappointed that was not on a base with light. Can someone explain what I missed in the site I ordered from.."
181,"

 Message 
 I just received my order and after eagerly waiting for my item, I am extremely disappointed because I have NO IDEA WHO THESE PEOPLE ARE!!!! That is not a memory of my deceased loved one! How can you have made such a horrible mistake! I am heart broken! How will you rectify this?"
302,"Alexandria Foster. I received the heart I ordered Last Friday October 30, 2020.  I LOVE IT, FANTASTIC.  I know my girlfriend will love it as well..  I cannot post a good review on Facebook atthis time. Afraid she might see a comment. But after Christmas I will definitely leave a good, excellent review.  And I will be a continued customer.  THANK YOU"
69,"I know this e-mail address is for support stuff but I just wanted to reach out and say how amazing my order turned out! The picture I used was of my brother who passed away in September and I ordered this for my mom. It is incredible and she is going to love it (and cry a lot.) Thank you so much for this wonderful gift, I can't wait to place my next order for a larger size! 
  Thank you again,  
  
  James Simmons"
256,"The lights in the stand do NOT work and not satisfied with the product at all for what I paid for it.  
I need to Return and get a Refund..."
38,I am disappointed in my item.The item is vertical instead of horizontal.
229,Sent from AT&T Yahoo I am very disappointed in my item. I had no idea it would be so small. I asked for the lighted model whic I did not receive. Any chance you can redo my orderMail for iPhone
68,"I just received the product yesterday and it was amazing. I appreciate everything, and will leave a very good review once I get the email, I just wanted to let you know that it was amazing and will definitely recommend people to you!!"
257,Yes my keychain arrived but was disappointed as the light up feature did not work.  The etching is nice but it would be easier to see if the light worked.  I don.t think it was the batteries but rather the light assembly.
248,"Sirs,    I am somewhat disappointed in how this item turned out. I am attaching the original picture I submitted and a picture of the finished item. While the dog’s head and forelimbs are nicely rendered, the back is obliterated by a rectangle that looks like the grass he was sitting on but everyone who sees this asks what that rectangle is doing there. Would you please consider redoing this item isolating the dog and the frisbee from the rectangle of grass?   Thank you."
126,"Thanks David for sending replacement with background. I am still not convinced with the quality of the item as it looks like different person on the side view. May be due to the picture chosen 3D did not come accurately. 

 Sent from my iPhone 

 ﻿"
165,"﻿Hello,

I opened up my order and immediately noticed that part of the corner had chipped off. I also looked and was not happy with the way the engraving turned out. I got a picture of my dog and the bottom part of his beard is missing and not shown clearly in the picture, which is not how it looked in the preview. 

I am not satisfied with the product I have received as it came damaged and does not reflect the picture I wanted to portray. 

Please let me know how your company can resolve this issue. 

Regards,

Rebecca Walker

image1.jpeg

image2.jpeg

Sent from my iPhone"
305,"Hi Bruce: 
  Thank you for remaking the item for me (and for Christopher) ... I really appreciate it! Sorry it was such a horrible picture to work from. Again, there were only a couple of photos to choose from and that was the better of the two. But thank you, thank you, thank you for going above and beyond and “tweaking it” even though my widow’s peak (and how it appeared in the picture that I provided to you) was none of Your Company Memories’ fault.  
  I’m looking forward to receiving on Wednesday and also to giving it to Christopher for Christmas! I will definitely leave a wonderful review upon receipt! Thank you for the quick turnaround and shipping and fantastic customer service!

 Thanks again,  Stacie Henderson 3239 Redwood Road  588 Courtney Lodge
Tylerberg, WA 50039, Codyfurt  44(364)657-7325  josesmall@gmail.com   926-636-0224"
145,Thank you! It is beautiful!
272,"Hello people and staff of Your Company memories, 
  I just wanted to let you know I got my Item in and it’s beautiful. I absolutely love it and will definitely buy from you again in the future!  
  Thanks so much  - Trevor Harrison;"
141,"I ordered three items for Christmas for my adult children.  It was of their grandmother that they loved so dearly and who they miss so much since her passing.  

The items were BEAUTIFUL and created happy tears on Christmas Morning.  Thank you SO MUCH for doing such a beautiful job and in such a timely manner.   We are so grateful for your help. 

 Jasmine Kline 

 Sent from my iPad"
209,"I just would like to thank you from the bottom of my heart it came out beautiful it really looks like my dad now I can see and be with him everyday thank you very much I will recommend to all my friends and family again thank you


  Sent from AOL Mobile Mail
Get the new AOL app: mail.mobile.aol.com"
307,"
 Message 
 Order #245371902556 recibed, supposed to be engraved I paid for that didn't do,they send me 2 rotating light base only ask for one and they send me two,the side ask was M they send me S ,so disappointed how to send they back"
207,Thank you for such good service. I received the replacement today.
130,"Yes! It's perfect!
 

 
 Get 
Outlook for Android"
39,"Noah, 
 I ordered a beautiful item piece last month (#(704)215-567313) and will be sending it to a friend soon. What a thing of beauty! I will need FOUR more itemsto accommodate 2 to 3 people each. I am in the process of selecting pics now. They will be smaller than the 5 setting I ordered earlier.   
  Would I be eligible for some sort of discount with that volume purchase...coupon discount code maybe? Also, could you send them as a gift and include a short personal note? Each will be going separately to ND locations.  
  Please provide any pertinent info to me.  
  Thanks so much...Natalie Thompson  wayne92@yahoo.com"
222,"My order number 717-341-853214 has been shipped to the wrong address, you guys has it going to 743 Carey Center
West Matthewfort, GU 29889 and that’s not the address i provided. The address suppose to be 111 2nd street, South Carrie MS 39341. I received and email stating that it’s going to be shipped today and it’s going to the wrong address, very very disappointed! It has my deceased daughter and granddaughter pictures on it and now it’s lost or going to the wrong person."
304,"I ordered from your company and  am extremely grateful for the beautiful work you did it was for my sister who just recently lost her son. It came out more beautiful than expected I wanted to leave a review but didn’t know how to sincerely Ronald Parker  

 Sent from my iPhone"
156,"I will definitely give a review and pic after Christmas. I almost cried when I saw it and I know my mom will be in tears. I can’t wait for her to open it up!

 Sent from my iPhone"
113,I ordered 2 and they are not the same I ordered them to say Vincent Smith on both and only one had the name engraved on them and look nothing alike they are for my 2 children and our fur baby has passed and I was looking for a perfect gift for Christmas and the one is amazing just not happy with my second one the one that's correct is amazing
118,"I got it in the mail today. I love it! I think this will spike sales for sure. When I get a booking I’ll let you know so you can tell me what to do next. 

Thanks again."
297,"Well thank you...I loved your customer service so much I have already placed another order for my husband. The picture is a little fuzzy I hope you guys can work with it. 
  Thank you so much in advance.  
  We both have lost our parents...I lost my mom in November , his will be gone coming 10 years next April , and I just lost my father in July.  
  These are so beautiful I have referred you to all our family and friends.   Jamie Roman"
309,"I just received my item and it is absolutely MF Amazing!!!!!! WOW.    

 Sent from my iPhone"
176,"My order just arrived and I can't believe how beautiful it is!!! Thank You so much for your beautiful work. I will recommend this company to everyone I know. Again it is beautiful ❤️ 

 Sincerely 

John Carter"
